{   Distance	     Value	 Material }
{  6.10403e-01	 1.65807e+05	 GaN }
{  6.16170e-01	 1.78909e+05	 GaN }
{  6.22352e-01	 1.17344e+05	 GaN }
{  6.28977e-01	 6.51563e+04	 GaN }
{  6.36078e-01	 3.48855e+04	 GaN }
{  6.43689e-01	 1.49574e+04	 GaN }
{  6.51846e-01	 1.16239e+04	 GaN }
{  6.60588e-01	 7.37085e+03	 GaN }
{  6.69958e-01	 4.91776e+03	 GaN }
{  6.80000e-01	 3.44030e+03	 GaN }
{  6.90024e-01	 2.43901e+03	 GaN }
{  7.00300e-01	 1.82672e+03	 GaN }
{  7.10833e-01	 1.40115e+03	 GaN }
{  7.21631e-01	 1.25827e+03	 GaN }
{  7.32699e-01	 1.02455e+03	 GaN }
{  7.44044e-01	 7.04468e+02	 GaN }
{  7.55674e-01	 5.76315e+02	 GaN }
{  7.67595e-01	 4.76927e+02	 GaN }
{  7.79815e-01	 3.98738e+02	 GaN }
{  7.92341e-01	 3.36405e+02	 GaN }
{  8.05181e-01	 2.86095e+02	 GaN }
{  8.18343e-01	 2.45015e+02	 GaN }
{  8.31835e-01	 2.76204e+02	 GaN }
{  8.45665e-01	 2.40748e+02	 GaN }
{  8.59842e-01	 1.59084e+02	 GaN }
{  8.74374e-01	 1.84722e+02	 GaN }
{  8.89270e-01	 1.21749e+02	 GaN }
{  9.04540e-01	 1.43229e+02	 GaN }
{  9.20192e-01	 1.26552e+02	 GaN }
{  9.36237e-01	 1.12094e+02	 GaN }
{  9.52684e-01	 7.38310e+01	 GaN }
{  9.69543e-01	 6.57328e+01	 GaN }
{  9.86824e-01	 5.89504e+01	 GaN }
{  1.00454e+00	 5.35481e+01	 GaN }
{  1.02270e+00	 4.97551e+01	 GaN }
{  1.04131e+00	 4.80219e+01	 GaN }
{  1.06039e+00	 4.90629e+01	 GaN }
{  1.07995e+00	 5.42380e+01	 GaN }
{  1.10000e+00	 7.37546e+01	 GaN }
{  1.11996e+00	 6.37700e+01	 GaN }
{  1.14001e+00	 7.01601e+01	 GaN }
{  1.16014e+00	 6.96290e+01	 GaN }
{  1.18037e+00	 6.59459e+01	 GaN }
{  1.20069e+00	 5.92529e+01	 GaN }
{  1.22110e+00	 5.55373e+01	 GaN }
{  1.24161e+00	 4.87710e+01	 GaN }
{  1.26220e+00	 4.58801e+01	 GaN }
{  1.28289e+00	 4.18138e+01	 GaN }
{  1.30367e+00	 3.82323e+01	 GaN }
{  1.32455e+00	 3.39106e+01	 GaN }
{  1.34552e+00	 3.11861e+01	 GaN }
{  1.36658e+00	 2.98085e+01	 GaN }
{  1.38774e+00	 2.75948e+01	 GaN }
{  1.40899e+00	 2.56072e+01	 GaN }
{  1.43034e+00	 2.38140e+01	 GaN }
{  1.45178e+00	 2.21887e+01	 GaN }
{  1.47333e+00	 2.07094e+01	 GaN }
{  1.49496e+00	 1.93577e+01	 GaN }
{  1.51670e+00	 1.81184e+01	 GaN }
{  1.53853e+00	 1.69783e+01	 GaN }
{  1.56047e+00	 1.49893e+01	 GaN }
{  1.58250e+00	 1.40289e+01	 GaN }
{  1.60463e+00	 1.31409e+01	 GaN }
{  1.62686e+00	 1.32135e+01	 GaN }
{  1.64919e+00	 1.24331e+01	 GaN }
{  1.67162e+00	 1.17053e+01	 GaN }
{  1.69415e+00	 1.10254e+01	 GaN }
{  1.71678e+00	 1.03894e+01	 GaN }
{  1.73951e+00	 9.79367e+00	 GaN }
{  1.76235e+00	 9.23503e+00	 GaN }
{  1.78529e+00	 8.71063e+00	 GaN }
{  1.80833e+00	 8.21793e+00	 GaN }
{  1.83148e+00	 7.75462e+00	 GaN }
{  1.85473e+00	 7.31864e+00	 GaN }
{  1.87809e+00	 6.90810e+00	 GaN }
{  1.90155e+00	 6.52130e+00	 GaN }
{  1.92511e+00	 6.15667e+00	 GaN }
{  1.94879e+00	 5.81278e+00	 GaN }
{  1.97257e+00	 5.48833e+00	 GaN }
{  1.99645e+00	 5.18210e+00	 GaN }
{  2.02045e+00	 4.89298e+00	 GaN }
{  2.04455e+00	 4.61993e+00	 GaN }
{  2.06876e+00	 4.36201e+00	 GaN }
{  2.09308e+00	 4.11831e+00	 GaN }
{  2.11750e+00	 3.45689e+00	 GaN }
{  2.14204e+00	 3.25889e+00	 GaN }
{  2.16669e+00	 3.07219e+00	 GaN }
{  2.19145e+00	 3.27013e+00	 GaN }
{  2.21632e+00	 3.08624e+00	 GaN }
{  2.24131e+00	 2.91238e+00	 GaN }
{  2.26640e+00	 2.74800e+00	 GaN }
{  2.29161e+00	 2.59256e+00	 GaN }
{  2.31693e+00	 2.15409e+00	 GaN }
{  2.34237e+00	 2.30661e+00	 GaN }
{  2.36792e+00	 1.91240e+00	 GaN }
{  2.39359e+00	 2.05098e+00	 GaN }
{  2.41937e+00	 1.93352e+00	 GaN }
{  2.44526e+00	 1.82248e+00	 GaN }
{  2.47128e+00	 1.71752e+00	 GaN }
{  2.49741e+00	 1.61830e+00	 GaN }
{  2.52366e+00	 1.52453e+00	 GaN }
{  2.55003e+00	 1.25569e+00	 GaN }
{  2.57651e+00	 1.35219e+00	 GaN }
{  2.60312e+00	 1.27308e+00	 GaN }
{  2.62984e+00	 1.19835e+00	 GaN }
{  2.65669e+00	 1.12777e+00	 GaN }
{  2.68365e+00	 1.06111e+00	 GaN }
{  2.71074e+00	 9.98173e-01	 GaN }
{  2.73795e+00	 8.17587e-01	 GaN }
{  2.76528e+00	 8.82675e-01	 GaN }
{  2.79273e+00	 8.29750e-01	 GaN }
{  2.82031e+00	 7.79813e-01	 GaN }
{  2.84801e+00	 7.32706e-01	 GaN }
{  2.87584e+00	 6.88277e-01	 GaN }
{  2.90379e+00	 5.61355e-01	 GaN }
{  2.93187e+00	 6.06886e-01	 GaN }
{  2.96008e+00	 4.94302e-01	 GaN }
{  2.98841e+00	 4.63671e-01	 GaN }
{  3.01687e+00	 5.01529e-01	 GaN }
{  3.04545e+00	 4.07678e-01	 GaN }
{  3.07417e+00	 4.41087e-01	 GaN }
{  3.10301e+00	 4.13490e-01	 GaN }
{  3.13199e+00	 3.35460e-01	 GaN }
{  3.16109e+00	 3.63075e-01	 GaN }
{  3.19033e+00	 3.40083e-01	 GaN }
{  3.21970e+00	 3.18459e-01	 GaN }
{  3.24920e+00	 2.98128e-01	 GaN }
{  3.27883e+00	 2.79018e-01	 GaN }
{  3.30860e+00	 2.61059e-01	 GaN }
{  3.33850e+00	 2.44188e-01	 GaN }
{  3.36853e+00	 2.28342e-01	 GaN }
{  3.39870e+00	 2.13464e-01	 GaN }
{  3.42901e+00	 1.99499e-01	 GaN }
{  3.45945e+00	 1.86394e-01	 GaN }
{  3.49003e+00	 1.74100e-01	 GaN }
{  3.52075e+00	 1.62571e-01	 GaN }
{  3.55161e+00	 1.51762e-01	 GaN }
{  3.58260e+00	 1.41631e-01	 GaN }
{  3.61373e+00	 1.32139e-01	 GaN }
{  3.64501e+00	 1.23249e-01	 GaN }
{  3.67642e+00	 9.88853e-02	 GaN }
{  3.70798e+00	 1.07132e-01	 GaN }
{  3.73968e+00	 9.98405e-02	 GaN }
{  3.77152e+00	 7.99687e-02	 GaN }
{  3.80350e+00	 8.66432e-02	 GaN }
{  3.83563e+00	 6.93243e-02	 GaN }
{  3.86790e+00	 7.51129e-02	 GaN }
{  3.90032e+00	 6.99111e-02	 GaN }
{  3.93289e+00	 6.50546e-02	 GaN }
{  3.96560e+00	 6.05224e-02	 GaN }
{  3.99846e+00	 5.62948e-02	 GaN }
{  4.03146e+00	 5.23531e-02	 GaN }
{  4.06462e+00	 4.86797e-02	 GaN }
{  4.09792e+00	 4.52583e-02	 GaN }
{  4.13137e+00	 4.20732e-02	 GaN }
{  4.16498e+00	 3.35505e-02	 GaN }
{  4.19873e+00	 3.11883e-02	 GaN }
{  4.23264e+00	 2.89954e-02	 GaN }
{  4.26670e+00	 3.14189e-02	 GaN }
{  4.30092e+00	 2.92146e-02	 GaN }
{  4.33528e+00	 2.71719e-02	 GaN }
{  4.36981e+00	 2.52810e-02	 GaN }
{  4.40448e+00	 2.35327e-02	 GaN }
{  4.43932e+00	 2.19186e-02	 GaN }
{  4.47431e+00	 2.04306e-02	 GaN }
{  4.50946e+00	 1.90614e-02	 GaN }
{  4.54476e+00	 1.78044e-02	 GaN }
{  4.58023e+00	 1.66531e-02	 GaN }
{  4.61585e+00	 1.35252e-02	 GaN }
{  4.65164e+00	 1.27280e-02	 GaN }
{  4.68758e+00	 1.37795e-02	 GaN }
{  4.72369e+00	 1.29992e-02	 GaN }
{  4.75996e+00	 1.23010e-02	 GaN }
{  4.79640e+00	 1.16815e-02	 GaN }
{  4.83300e+00	 1.11378e-02	 GaN }
{  4.86976e+00	 1.06676e-02	 GaN }
{  4.90669e+00	 1.02689e-02	 GaN }
{  4.94378e+00	 9.94026e-03	 GaN }
{  4.98104e+00	 9.68073e-03	 GaN }
{  5.01847e+00	 9.48987e-03	 GaN }
{  5.05607e+00	 9.36780e-03	 GaN }
{  5.09384e+00	 8.72915e-03	 GaN }
{  5.13177e+00	 9.33351e-03	 GaN }
{  5.16988e+00	 9.42468e-03	 GaN }
{  5.20816e+00	 9.59156e-03	 GaN }
{  5.24661e+00	 9.83784e-03	 GaN }
{  5.28524e+00	 1.01682e-02	 GaN }
{  5.32404e+00	 1.05883e-02	 GaN }
{  5.36301e+00	 1.11053e-02	 GaN }
{  5.40216e+00	 1.17277e-02	 GaN }
{  5.44148e+00	 1.29740e-02	 GaN }
{  5.48099e+00	 1.40526e-02	 GaN }
{  5.52067e+00	 1.43401e-02	 GaN }
{  5.56053e+00	 1.55086e-02	 GaN }
{  5.60056e+00	 1.84896e-02	 GaN }
{  5.64078e+00	 1.84136e-02	 GaN }
{  5.68118e+00	 2.27971e-02	 GaN }
{  5.72176e+00	 2.22677e-02	 GaN }
{  5.76253e+00	 2.46452e-02	 GaN }
{  5.80347e+00	 2.73892e-02	 GaN }
{  5.84460e+00	 3.05623e-02	 GaN }
{  5.88592e+00	 4.18526e-02	 GaN }
{  5.92742e+00	 3.85151e-02	 GaN }
{  5.96911e+00	 4.34988e-02	 GaN }
{  6.01099e+00	 4.93280e-02	 GaN }
{  6.05306e+00	 7.39269e-02	 GaN }
{  6.09531e+00	 6.42309e-02	 GaN }
{  6.13776e+00	 7.37629e-02	 GaN }
{  6.18039e+00	 8.50784e-02	 GaN }
{  6.22322e+00	 9.85636e-02	 GaN }
{  6.26624e+00	 1.14697e-01	 GaN }
{  6.30946e+00	 1.98680e-01	 GaN }
{  6.35287e+00	 1.57439e-01	 GaN }
{  6.39647e+00	 2.85921e-01	 GaN }
{  6.44027e+00	 3.45088e-01	 GaN }
{  6.48427e+00	 2.61956e-01	 GaN }
{  6.52847e+00	 3.13213e-01	 GaN }
{  6.57287e+00	 3.76161e-01	 GaN }
{  6.61746e+00	 7.60649e-01	 GaN }
{  6.66226e+00	 9.35254e-01	 GaN }
{  6.70725e+00	 6.68728e-01	 GaN }
{  6.75245e+00	 8.17006e-01	 GaN }
{  6.79786e+00	 1.00235e+00	 GaN }
{  6.84347e+00	 1.23494e+00	 GaN }
{  6.88928e+00	 1.52803e+00	 GaN }
{  6.93530e+00	 1.89903e+00	 GaN }
{  6.98153e+00	 2.37109e+00	 GaN }
{  7.02796e+00	 2.97530e+00	 GaN }
{  7.07461e+00	 3.75403e+00	 GaN }
{  7.12146e+00	 4.76603e+00	 GaN }
{  7.16852e+00	 1.18412e+01	 GaN }
{  7.21580e+00	 7.86011e+00	 GaN }
{  7.26329e+00	 2.05217e+01	 GaN }
{  7.31099e+00	 1.35225e+01	 GaN }
{  7.35891e+00	 1.81475e+01	 GaN }
{  7.40705e+00	 2.48795e+01	 GaN }
{  7.45540e+00	 3.50869e+01	 GaN }
{  7.50396e+00	 5.14176e+01	 GaN }
{  7.55275e+00	 7.94905e+01	 GaN }
{  7.60176e+00	 1.32740e+02	 GaN }
{  7.65099e+00	 2.49001e+02	 GaN }
{  7.70043e+00	 5.70919e+02	 GaN }
{  7.75011e+00	 1.99166e+04	 GaN }
{  7.80000e+00	 1.80426e+04	 GaN }
{  7.85000e+00	 1.38570e+04	 GaN }
{  7.90000e+00	 7.09828e+01	 GaN }
{  7.95000e+00	 1.61260e+00	 GaN }
{  8.00000e+00	 2.52526e-01	 GaN }
{  8.05000e+00	 1.80695e-02	 GaN }
{  8.10000e+00	 4.36543e-02	 GaN }
{  8.15000e+00	 5.74592e-02	 GaN }
{  8.20000e+00	 5.63353e-02	 GaN }
{  8.25000e+00	 5.06701e-02	 GaN }
{  8.30000e+00	 4.40296e-02	 GaN }
{  8.35000e+00	 3.76597e-02	 GaN }
{  8.40000e+00	 3.19551e-02	 GaN }
{  8.45000e+00	 2.69875e-02	 GaN }
{  8.50000e+00	 2.27085e-02	 GaN }
{  8.55000e+00	 1.90298e-02	 GaN }
{  8.60000e+00	 1.58548e-02	 GaN }
{  8.65000e+00	 1.30937e-02	 GaN }
{  8.70000e+00	 1.07098e-02	 GaN }
{  8.75000e+00	 9.26969e-03	 GaN }
{  8.80000e+00	 4.24834e-02	 GaN }
{  8.85000e+00	 4.62142e+00	 GaN }
{  8.90000e+00	 5.93692e+02	 GaN }

{   Distance	     Value	 Material }
{ -1.95000e+00	 5.94644e+02	 GaN }
{ -1.90000e+00	 3.65148e+02	 GaN }
{ -1.85000e+00	 3.41782e+00	 GaN }
{ -1.80000e+00	 5.78398e-02	 GaN }
{ -1.75000e+00	 4.75607e-02	 GaN }
{ -1.70000e+00	 6.35623e-02	 GaN }
{ -1.65000e+00	 8.12272e-02	 GaN }
{ -1.60000e+00	 1.01192e-01	 GaN }
{ -1.55000e+00	 1.24310e-01	 GaN }
{ -1.50000e+00	 1.51539e-01	 GaN }
{ -1.45000e+00	 1.84036e-01	 GaN }
{ -1.40000e+00	 2.23243e-01	 GaN }
{ -1.35000e+00	 2.70961e-01	 GaN }
{ -1.30000e+00	 3.29402e-01	 GaN }
{ -1.25000e+00	 4.01109e-01	 GaN }
{ -1.20000e+00	 4.88407e-01	 GaN }
{ -1.15000e+00	 5.91283e-01	 GaN }
{ -1.10000e+00	 6.99581e-01	 GaN }
{ -1.05000e+00	 7.62626e-01	 GaN }
{ -1.00000e+00	 5.49371e-01	 GaN }
{ -9.50000e-01	 1.63102e+00	 GaN }
{ -9.00000e-01	 9.25786e+01	 GaN }
{ -8.50000e-01	 1.46435e+04	 GaN }
{ -8.02781e-01	 2.03960e+04	 GaN }
{ -7.66672e-01	 6.48364e+03	 GaN }
{ -7.39058e-01	 2.63808e+03	 GaN }
{ -7.17942e-01	 2.27580e+03	 GaN }
{ -7.01793e-01	 2.53027e+03	 GaN }
{ -6.89444e-01	 3.07032e+03	 GaN }
{ -6.80000e-01	 3.67212e+03	 GaN }
{ -6.70000e-01	 5.06614e+03	 GaN }
{ -6.60000e-01	 7.12159e+03	 GaN }
{ -6.50000e-01	 1.08456e+04	 GaN }
{ -6.40000e-01	 1.83902e+04	 GaN }
{ -6.30000e-01	 3.55905e+04	 GaN }
{ -6.20000e-01	 7.72197e+04	 GaN }
{ -6.10000e-01	 1.59888e+05	 GaN }
{ -6.00000e-01	 2.13361e+05	 GaN }
{ -5.90113e-01	 1.85744e+05	 GaN }
{ -5.79971e-01	 1.34861e+05	 GaN }
{ -5.69568e-01	 9.19352e+04	 GaN }
{ -5.58897e-01	 6.24813e+04	 GaN }
{ -5.47950e-01	 4.34008e+04	 GaN }
{ -5.36722e-01	 3.10350e+04	 GaN }
{ -5.25203e-01	 2.28352e+04	 GaN }
{ -5.13388e-01	 1.72333e+04	 GaN }
{ -5.01269e-01	 9.72309e+03	 GaN }
{ -4.88837e-01	 1.04310e+04	 GaN }
{ -4.76084e-01	 8.30754e+03	 GaN }
{ -4.63003e-01	 6.69292e+03	 GaN }
{ -4.49584e-01	 4.12727e+03	 GaN }
{ -4.35820e-01	 3.38592e+03	 GaN }
{ -4.21700e-01	 3.65193e+03	 GaN }
{ -4.07217e-01	 2.27952e+03	 GaN }
{ -3.92360e-01	 2.46065e+03	 GaN }
{ -3.77121e-01	 2.00614e+03	 GaN }
{ -3.61488e-01	 1.61817e+03	 GaN }
{ -3.45452e-01	 1.28225e+03	 GaN }
{ -3.29004e-01	 9.87104e+02	 GaN }
{ -3.12131e-01	 7.23857e+02	 GaN }
{ -2.94823e-01	 2.46289e+02	 GaN }
{ -2.77069e-01	 2.65647e+02	 GaN }
{ -2.58857e-01	 1.25721e+02	 GaN }
{ -2.40175e-01	 3.02281e+02	 GaN }
{ -2.21013e-01	 3.27652e+02	 GaN }
{ -2.01356e-01	 5.17044e+02	 GaN }
{ -1.81192e-01	 7.08850e+02	 GaN }
{ -1.60509e-01	 9.07710e+02	 GaN }
{ -1.39292e-01	 1.11983e+03	 GaN }
{ -1.17528e-01	 1.35516e+03	 GaN }
{ -9.52039e-02	 1.63339e+03	 GaN }
{ -7.23037e-02	 2.00231e+03	 GaN }
{ -4.88133e-02	 2.59880e+03	 GaN }
{ -2.47172e-02	 3.81256e+03	 GaN }
{  0.00000e+00	 4.17049e+02	 GaN }
{  2.50371e-02	 1.08855e+03	 GaN }
{  4.92313e-02	 1.46026e+03	 GaN }
{  7.26110e-02	 2.83220e+03	 GaN }
{  9.52037e-02	 3.58387e+03	 GaN }
{  1.17036e-01	 4.16023e+03	 GaN }
{  1.38133e-01	 4.70174e+03	 GaN }
{  1.58520e-01	 5.25565e+03	 GaN }
{  1.78221e-01	 5.84201e+03	 GaN }
{  1.97258e-01	 6.47216e+03	 GaN }
{  2.15655e-01	 8.54579e+03	 GaN }
{  2.33432e-01	 7.89705e+03	 GaN }
{  2.50611e-01	 8.70732e+03	 GaN }
{  2.67212e-01	 9.59382e+03	 GaN }
{  2.83253e-01	 1.05659e+04	 GaN }
{  2.98755e-01	 1.38573e+04	 GaN }
{  3.13735e-01	 1.28101e+04	 GaN }
{  3.28210e-01	 1.68098e+04	 GaN }
{  3.42199e-01	 1.55429e+04	 GaN }
{  3.55716e-01	 1.71333e+04	 GaN }
{  3.68779e-01	 1.89002e+04	 GaN }
{  3.81401e-01	 2.08682e+04	 GaN }
{  3.93599e-01	 2.30659e+04	 GaN }
{  4.05386e-01	 2.55274e+04	 GaN }
{  4.16776e-01	 2.82928e+04	 GaN }
{  4.27783e-01	 3.14100e+04	 GaN }
{  4.38419e-01	 4.20306e+04	 GaN }
{  4.48698e-01	 3.89402e+04	 GaN }
{  4.58630e-01	 4.35061e+04	 GaN }
{  4.68228e-01	 4.87363e+04	 GaN }
{  4.77502e-01	 6.64793e+04	 GaN }
{  4.86465e-01	 6.17243e+04	 GaN }
