{   Distance	     Value	 Material }
{  6.51736e-01	 1.41052e+01	 GaN }
{  6.68880e-01	 1.29087e+01	 GaN }
{  6.86782e-01	 7.04927e+00	 GaN }
{  7.05477e-01	 8.00680e+00	 GaN }
{  7.25000e-01	 5.71917e+00	 GaN }
{  7.45031e-01	 6.08836e+00	 GaN }
{  7.65301e-01	 7.81413e+00	 GaN }
{  7.85815e-01	 9.98223e+00	 GaN }
{  8.06573e-01	 1.04391e+01	 GaN }
{  8.27581e-01	 1.04817e+01	 GaN }
{  8.48840e-01	 1.03513e+01	 GaN }
{  8.70353e-01	 1.01197e+01	 GaN }
{  8.92124e-01	 9.81776e+00	 GaN }
{  9.14155e-01	 9.46380e+00	 GaN }
{  9.36450e-01	 8.54565e+00	 GaN }
{  9.59012e-01	 8.65272e+00	 GaN }
{  9.81844e-01	 8.21706e+00	 GaN }
{  1.00495e+00	 7.77310e+00	 GaN }
{  1.02833e+00	 7.32797e+00	 GaN }
{  1.05199e+00	 6.38896e+00	 GaN }
{  1.07594e+00	 6.45602e+00	 GaN }
{  1.10017e+00	 6.03720e+00	 GaN }
{  1.12469e+00	 5.63348e+00	 GaN }
{  1.14951e+00	 5.24660e+00	 GaN }
{  1.17462e+00	 4.87766e+00	 GaN }
{  1.20003e+00	 4.52726e+00	 GaN }
{  1.22575e+00	 4.19560e+00	 GaN }
{  1.25178e+00	 3.88259e+00	 GaN }
{  1.27811e+00	 3.58790e+00	 GaN }
{  1.30477e+00	 3.31105e+00	 GaN }
{  1.33174e+00	 3.05143e+00	 GaN }
{  1.35903e+00	 2.80836e+00	 GaN }
{  1.38665e+00	 2.58111e+00	 GaN }
{  1.41460e+00	 2.36891e+00	 GaN }
{  1.44289e+00	 1.96791e+00	 GaN }
{  1.47151e+00	 1.98654e+00	 GaN }
{  1.50048e+00	 1.81480e+00	 GaN }
{  1.52980e+00	 1.65500e+00	 GaN }
{  1.55946e+00	 1.35545e+00	 GaN }
{  1.58948e+00	 1.22825e+00	 GaN }
{  1.61986e+00	 1.23985e+00	 GaN }
{  1.65060e+00	 1.00010e+00	 GaN }
{  1.68171e+00	 1.00954e+00	 GaN }
{  1.71320e+00	 9.06308e-01	 GaN }
{  1.74506e+00	 7.13792e-01	 GaN }
{  1.77730e+00	 7.20528e-01	 GaN }
{  1.80993e+00	 6.36763e-01	 GaN }
{  1.84295e+00	 4.80008e-01	 GaN }
{  1.87636e+00	 4.84538e-01	 GaN }
