{   Distance	     Value	 Material }
{  6.51736e-01	 1.40388e+01	 GaN }
{  6.68880e-01	 1.15411e+01	 GaN }
{  6.86782e-01	 3.95574e+00	 GaN }
{  7.05477e-01	 4.79648e+00	 GaN }
{  7.25000e-01	 9.94659e+00	 GaN }
{  7.45031e-01	 1.04141e+01	 GaN }
{  7.65301e-01	 3.10570e+00	 GaN }
{  7.85815e-01	 5.00450e+00	 GaN }
{  8.06573e-01	 5.26938e+00	 GaN }
{  8.27581e-01	 5.18426e+00	 GaN }
{  8.48840e-01	 4.98117e+00	 GaN }
{  8.70353e-01	 4.72443e+00	 GaN }
{  8.92124e-01	 4.43889e+00	 GaN }
{  9.14155e-01	 4.13760e+00	 GaN }
{  9.36450e-01	 3.47539e+00	 GaN }
{  9.59012e-01	 3.52135e+00	 GaN }
{  9.81844e-01	 3.21896e+00	 GaN }
{  1.00495e+00	 2.92675e+00	 GaN }
{  1.02833e+00	 2.64814e+00	 GaN }
{  1.05199e+00	 2.12045e+00	 GaN }
{  1.07594e+00	 2.14046e+00	 GaN }
{  1.10017e+00	 1.91369e+00	 GaN }
{  1.12469e+00	 1.70539e+00	 GaN }
{  1.14951e+00	 1.51527e+00	 GaN }
{  1.17462e+00	 1.34269e+00	 GaN }
{  1.20003e+00	 1.18677e+00	 GaN }
{  1.22575e+00	 1.04650e+00	 GaN }
{  1.25178e+00	 9.20755e-01	 GaN }
{  1.27811e+00	 8.08410e-01	 GaN }
{  1.30477e+00	 7.08327e-01	 GaN }
{  1.33174e+00	 6.19406e-01	 GaN }
{  1.35903e+00	 5.40595e-01	 GaN }
{  1.38665e+00	 4.70903e-01	 GaN }
{  1.41460e+00	 4.09403e-01	 GaN }
{  1.44289e+00	 3.05441e-01	 GaN }
{  1.47151e+00	 3.07630e-01	 GaN }
{  1.50048e+00	 2.65851e-01	 GaN }
{  1.52980e+00	 2.29250e-01	 GaN }
{  1.55946e+00	 1.68064e-01	 GaN }
{  1.58948e+00	 1.43828e-01	 GaN }
{  1.61986e+00	 1.44850e-01	 GaN }
{  1.65060e+00	 1.04273e-01	 GaN }
{  1.68171e+00	 1.05013e-01	 GaN }
{  1.71320e+00	 8.88390e-02	 GaN }
{  1.74506e+00	 6.19460e-02	 GaN }
{  1.77730e+00	 6.23853e-02	 GaN }
{  1.80993e+00	 5.15577e-02	 GaN }
{  1.84295e+00	 3.32747e-02	 GaN }
{  1.87636e+00	 3.35118e-02	 GaN }
{  1.91017e+00	 2.58736e-02	 GaN }
{  1.94439e+00	 1.23126e-02	 GaN }
{  1.97902e+00	 1.24066e-02	 GaN }
{  2.01406e+00	 1.06953e-04	 GaN }
{  2.04953e+00	 1.27950e-04	 GaN }
{  2.08541e+00	 6.04069e-03	 GaN }
{  2.12173e+00	 1.25117e-02	 GaN }
{  2.15848e+00	 1.95352e-02	 GaN }
{  2.19567e+00	 3.66010e-02	 GaN }
{  2.23331e+00	 3.65247e-02	 GaN }
{  2.27139e+00	 4.73796e-02	 GaN }
{  2.30994e+00	 6.06892e-02	 GaN }
{  2.34894e+00	 7.75079e-02	 GaN }
{  2.38841e+00	 9.94795e-02	 GaN }
{  2.42835e+00	 1.82428e-01	 GaN }
{  2.46878e+00	 1.71545e-01	 GaN }
{  2.50968e+00	 2.34363e-01	 GaN }
{  2.55108e+00	 5.70511e-01	 GaN }
{  2.59297e+00	 9.18221e-01	 GaN }
{  2.63536e+00	 7.70938e-01	 GaN }
{  2.67826e+00	 2.72985e+00	 GaN }
{  2.72167e+00	 2.17777e+00	 GaN }
{  2.76560e+00	 9.35793e+00	 GaN }
