{   Distance	     Value	 Material }
{  1.80889e-01	-5.98087e-01	 GaN }
{  1.84128e-01	-5.98385e-01	 GaN }
{  1.87457e-01	-5.98653e-01	 GaN }
{  1.90878e-01	-5.98893e-01	 GaN }
{  1.94394e-01	-5.99109e-01	 GaN }
{  1.98007e-01	-5.99301e-01	 GaN }
{  2.01719e-01	-5.99474e-01	 GaN }
{  2.05535e-01	-5.99630e-01	 GaN }
{  2.09455e-01	-5.99772e-01	 GaN }
{  2.13485e-01	-5.99901e-01	 GaN }
{  2.17625e-01	-6.00019e-01	 GaN }
{  2.21881e-01	-6.00130e-01	 GaN }
{  2.26253e-01	-6.00234e-01	 GaN }
{  2.30747e-01	-6.00332e-01	 GaN }
{  2.35365e-01	-6.00427e-01	 GaN }
{  2.40111e-01	-6.00521e-01	 GaN }
{  2.44988e-01	-6.00619e-01	 GaN }
{  2.50000e-01	-6.00746e-01	 GaN }
{  2.54993e-01	-6.00798e-01	 GaN }
{  2.60105e-01	-6.00873e-01	 GaN }
{  2.65338e-01	-6.00954e-01	 GaN }
{  2.70695e-01	-6.01036e-01	 GaN }
{  2.76180e-01	-6.01118e-01	 GaN }
{  2.81796e-01	-6.01201e-01	 GaN }
{  2.87544e-01	-6.01283e-01	 GaN }
{  2.93430e-01	-6.01366e-01	 GaN }
{  2.99455e-01	-6.01449e-01	 GaN }
{  3.05624e-01	-6.01530e-01	 GaN }
{  3.11939e-01	-6.01611e-01	 GaN }
{  3.18405e-01	-6.01691e-01	 GaN }
{  3.25024e-01	-6.01769e-01	 GaN }
{  3.31801e-01	-6.01845e-01	 GaN }
{  3.38738e-01	-6.01919e-01	 GaN }
{  3.45841e-01	-6.01991e-01	 GaN }
{  3.53113e-01	-6.02061e-01	 GaN }
{  3.60557e-01	-6.02127e-01	 GaN }
{  3.68178e-01	-6.02191e-01	 GaN }
{  3.75981e-01	-6.02252e-01	 GaN }
{  3.83969e-01	-6.02308e-01	 GaN }
{  3.92147e-01	-6.02362e-01	 GaN }
{  4.00520e-01	-6.02414e-01	 GaN }
{  4.09091e-01	-6.02462e-01	 GaN }
{  4.17866e-01	-6.02508e-01	 GaN }
{  4.26850e-01	-6.02550e-01	 GaN }
{  4.36048e-01	-6.02590e-01	 GaN }
{  4.45464e-01	-6.02627e-01	 GaN }
{  4.55104e-01	-6.02661e-01	 GaN }
{  4.64973e-01	-6.02692e-01	 GaN }
{  4.75077e-01	-6.02722e-01	 GaN }
{  4.85421e-01	-6.02748e-01	 GaN }
{  4.96011e-01	-6.02773e-01	 GaN }
{  5.06853e-01	-6.02795e-01	 GaN }
{  5.17952e-01	-6.02816e-01	 GaN }
{  5.29316e-01	-6.02835e-01	 GaN }
{  5.40949e-01	-6.02851e-01	 GaN }
{  5.52859e-01	-6.02867e-01	 GaN }
{  5.65053e-01	-6.02880e-01	 GaN }
{  5.77536e-01	-6.02892e-01	 GaN }
{  5.90316e-01	-6.02903e-01	 GaN }
{  6.03400e-01	-6.02913e-01	 GaN }
{  6.16795e-01	-6.02921e-01	 GaN }
{  6.30508e-01	-6.02928e-01	 GaN }
{  6.44547e-01	-6.02935e-01	 GaN }
{  6.58921e-01	-6.02940e-01	 GaN }
{  6.73635e-01	-6.02944e-01	 GaN }
{  6.88700e-01	-6.02948e-01	 GaN }
{  7.04123e-01	-6.02950e-01	 GaN }
{  7.19913e-01	-6.02952e-01	 GaN }
{  7.36078e-01	-6.02953e-01	 GaN }
{  7.52627e-01	-6.02953e-01	 GaN }
{  7.69570e-01	-6.02952e-01	 GaN }
{  7.86915e-01	-6.02951e-01	 GaN }
{  8.04673e-01	-6.02948e-01	 GaN }
{  8.22853e-01	-6.02945e-01	 GaN }
{  8.41466e-01	-6.02941e-01	 GaN }
{  8.60520e-01	-6.02936e-01	 GaN }
{  8.80028e-01	-6.02933e-01	 GaN }
{  9.00000e-01	-6.02975e-01	 GaN }
{  9.20097e-01	-6.02955e-01	 GaN }
{  9.40422e-01	-6.02946e-01	 GaN }
{  9.60978e-01	-6.02936e-01	 GaN }
{  9.81769e-01	-6.02926e-01	 GaN }
{  1.00280e+00	-6.02916e-01	 GaN }
{  1.02406e+00	-6.02905e-01	 GaN }
{  1.04557e+00	-6.02894e-01	 GaN }
{  1.06732e+00	-6.02883e-01	 GaN }
{  1.08932e+00	-6.02872e-01	 GaN }
{  1.11157e+00	-6.02862e-01	 GaN }
{  1.13408e+00	-6.02851e-01	 GaN }
{  1.15684e+00	-6.02842e-01	 GaN }
{  1.17985e+00	-6.02832e-01	 GaN }
{  1.20313e+00	-6.02823e-01	 GaN }
{  1.22668e+00	-6.02814e-01	 GaN }
{  1.25049e+00	-6.02806e-01	 GaN }
{  1.27458e+00	-6.02798e-01	 GaN }
{  1.29893e+00	-6.02791e-01	 GaN }
{  1.32357e+00	-6.02784e-01	 GaN }
{  1.34848e+00	-6.02777e-01	 GaN }
{  1.37368e+00	-6.02771e-01	 GaN }
{  1.39917e+00	-6.02765e-01	 GaN }
{  1.42494e+00	-6.02760e-01	 GaN }
{  1.45101e+00	-6.02755e-01	 GaN }
{  1.47738e+00	-6.02750e-01	 GaN }
{  1.50404e+00	-6.02746e-01	 GaN }
{  1.53101e+00	-6.02742e-01	 GaN }
{  1.55829e+00	-6.02738e-01	 GaN }
{  1.58587e+00	-6.02734e-01	 GaN }
{  1.61377e+00	-6.02731e-01	 GaN }
{
