Vds_V,Id_uA_per_um
0.0,0.0
0.05,6.735812
0.1,13.25601
0.15000000000000002,19.54508
0.2,25.59392
0.25,31.38856
0.3,36.90602
0.35,42.107609999999994
0.39999999999999997,46.96788
0.44999999999999996,51.439530000000005
0.49999999999999994,55.499379999999995
0.5499999999999999,59.0993
0.6,62.199659999999994
0.65,64.78082
0.7000000000000001,66.87525000000001
0.7500000000000001,68.55201000000001
0.8000000000000002,69.88826
0.8500000000000002,70.98019000000001
0.9000000000000002,71.90039
0.9500000000000003,72.69816
1.0000000000000002,73.40526
1.0500000000000003,74.04142999999999
1.1000000000000003,74.61972
1.1500000000000004,75.1492
1.2000000000000004,75.63683999999999
1.2500000000000004,76.08782
1.3000000000000005,76.51050000000001
1.3500000000000005,76.91162
1.4000000000000006,77.29656
1.4500000000000006,77.66929
1.5000000000000007,78.03251999999999
1.5500000000000007,78.38789
1.6000000000000008,78.7366
1.6500000000000008,79.07945
1.7000000000000008,79.41668999999999
1.7500000000000009,79.74867
1.800000000000001,80.07583
1.850000000000001,80.39824
1.900000000000001,80.71613
1.950000000000001,81.02966
2.000000000000001,81.33896
2.0500000000000007,81.64416
2.1000000000000005,81.9455
2.1500000000000004,82.24306
2.2,82.537
2.25,82.8275
2.3,83.11199
2.3499999999999996,83.3918
2.3999999999999995,83.66824
2.4499999999999993,83.94152
2.499999999999999,84.21171000000001
2.549999999999999,84.47886000000001
2.5999999999999988,84.74302
2.6499999999999986,85.00425
2.6999999999999984,85.2626
2.7499999999999982,85.51811
2.799999999999998,85.77084
2.849999999999998,86.02083999999999
2.8999999999999977,86.26816000000001
2.9499999999999975,86.51284000000001
2.9999999999999973,86.75489999999999
3.049999999999997,86.99442
3.099999999999997,87.23142
3.149999999999997,87.46595
3.1999999999999966,87.69804
3.2499999999999964,87.92773
3.2999999999999963,88.15505
3.349999999999996,88.38006
3.399999999999996,88.60282000000001
3.4499999999999957,88.82328000000001
3.4999999999999956,89.0415
3.5499999999999954,89.2575
3.599999999999995,89.47129000000001
3.649999999999995,89.68290999999999
3.699999999999995,89.89237
3.7499999999999947,90.09974
3.7999999999999945,90.30501
3.8499999999999943,90.5082
3.899999999999994,90.70936
3.949999999999994,90.90853
3.999999999999994,91.10571
4.049999999999994,91.30095999999999
4.099999999999993,91.4942
4.149999999999993,91.68548999999999
4.199999999999993,91.87485
4.249999999999993,92.0623
4.299999999999993,92.24786
4.3499999999999925,92.43154999999999
4.399999999999992,92.61338
4.449999999999992,92.79338
4.499999999999992,92.97157
4.549999999999992,93.14795000000001
4.599999999999992,93.32253999999999
4.6499999999999915,93.49537
4.699999999999991,93.66645
4.749999999999991,93.8358
4.799999999999991,94.00344
4.849999999999991,94.1694
4.899999999999991,94.33358999999999
4.94999999999999,94.49608
4.99999999999999,94.65693999999999
