Vds_V,Id_uA_per_um
0.0,0.0
0.05,6.966295000000001e-5
0.1,0.0001122656
0.15000000000000002,0.00016704950000000001
0.2,0.0002631957
0.25,0.000493594
0.3,0.001237705
0.35,0.04415177
0.39999999999999997,0.3867947
0.44999999999999996,0.9639931999999999
0.49999999999999994,1.819065
0.5499999999999999,2.920239
0.6,4.216851
0.65,5.665166
0.7000000000000001,7.2042
0.7500000000000001,8.80991
0.8000000000000002,10.4425
0.8500000000000002,12.08284
0.9000000000000002,13.72246
0.9500000000000003,15.315449999999998
1.0000000000000002,16.94643
1.0500000000000003,18.495720000000002
1.1000000000000003,20.03381
1.1500000000000004,21.58183
1.2000000000000004,23.12256
1.2500000000000004,24.655350000000002
1.3000000000000005,26.17069
1.3500000000000005,27.6678
1.4000000000000006,29.1513
1.4500000000000006,30.62209
1.5000000000000007,32.0837
1.5500000000000007,33.53732
1.6000000000000008,34.92621
1.6500000000000008,36.30977
1.7000000000000008,37.67441
1.7500000000000009,39.02228
1.800000000000001,40.36067
1.850000000000001,41.67649
1.900000000000001,42.96735
1.950000000000001,44.16797
2.000000000000001,45.349509999999995
2.0500000000000007,46.51734
2.1000000000000005,47.66834
2.1500000000000004,48.801860000000005
2.2,49.916380000000004
2.25,51.01242
2.3,52.09545
2.3499999999999996,53.16371
2.3999999999999995,54.1991
2.4499999999999993,55.14268
2.499999999999999,56.07528
2.549999999999999,56.995839999999994
2.5999999999999988,57.90376
2.6499999999999986,58.787189999999995
2.6999999999999984,59.65792
2.7499999999999982,60.51056
2.799999999999998,61.34693
2.849999999999998,62.17444999999999
2.8999999999999977,62.981739999999995
2.9499999999999975,63.77015000000001
2.9999999999999973,64.54716
3.049999999999997,65.31029000000001
3.099999999999997,66.06295
3.149999999999997,66.76949
3.1999999999999966,67.4523
3.2499999999999964,68.12483
3.2999999999999963,68.78247
3.349999999999996,69.42536000000001
3.399999999999996,70.05786
3.4499999999999957,70.68112
3.4999999999999956,71.27894
3.5499999999999954,71.86683
3.599999999999995,72.44459
3.649999999999995,73.01199
3.699999999999995,73.57002
3.7499999999999947,74.11949999999999
3.7999999999999945,74.66234999999999
3.8499999999999943,75.17208
3.899999999999994,75.67614999999999
3.949999999999994,76.17281
3.999999999999994,76.66129
4.049999999999994,77.14158
4.099999999999993,77.61394
4.149999999999993,78.07855
4.199999999999993,78.53565
4.249999999999993,78.97273
4.299999999999993,79.3848
4.3499999999999925,79.79232
4.399999999999992,80.19391
4.449999999999992,80.58947
4.499999999999992,80.97850000000001
4.549999999999992,81.36174
4.599999999999992,81.73007
4.6499999999999915,82.08426
4.699999999999991,82.43365
4.749999999999991,82.77749
4.799999999999991,83.11578
4.849999999999991,83.44868
4.899999999999991,83.77612
4.94999999999999,84.09843
4.99999999999999,84.41544
